K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
3,minkowski1,Sheppards_Work,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,1.9076664924621582,0.22374924344504016
3,minkowski2,Sheppards_Work,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,3.2846792697906495,0.4229881220516977
3,minkowski1,Sheppards_Work,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,6.565777111053467,0.3935090436155131
3,minkowski2,Sheppards_Work,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,8.399057197570801,0.7085795845481797
3,minkowski2,Majority_class,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,3.192400670051575,0.31114845986234807
3,HEOM,Majority_class,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,6.221693801879883,0.8198322426441079
3,minkowski1,Majority_class,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,6.756895709037781,0.6287474812500671
3,minkowski1,Majority_class,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,1.9255640506744385,0.2259523661386172
3,HEOM,Sheppards_Work,Relief,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,5.910510063171387,0.328878101488056
3,HEOM,Sheppards_Work,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,1.087132215499878,0.04794549092743158
3,HEOM,Majority_class,ANOVA,0.7351640033890874,0.03917293907696578,0.723952121328807,0.040554163658746104,0.7636121220604704,0.06334090109069974,0.7418803442204609,0.04070940534634061,0.7517581622946407,0.048882368493946754,0.7064837625979843,0.060998811589398905,0.7267732625734766,0.042631721036639446,1.065284538269043,0.07710333195573078
5,HEOM,Majority_class,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,5.902432775497436,0.43935088301797065
5,HEOM,Sheppards_Work,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,1.10039381980896,0.04451302938424465
5,HEOM,Majority_class,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,1.0890479803085327,0.07497837921644931
5,HEOM,Sheppards_Work,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,6.052416276931763,0.5402129443451916
5,minkowski1,Sheppards_Work,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,1.8875055313110352,0.20783253258787387
5,minkowski2,Majority_class,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,3.1015380859375,0.13720373080896547
5,minkowski1,Majority_class,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,1.972154474258423,0.31917143459169495
5,minkowski1,Majority_class,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,6.6068370819091795,0.31262933676479315
5,minkowski1,Sheppards_Work,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,6.64352285861969,0.4860768922658805
5,minkowski2,Majority_class,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,8.157553887367248,0.8986812105581261
